,Symbol,Buy/Sell,Entry Price,Entry Date,Exit Price,Exit Date,Per trade return,Probability,Return,Drawdowm
0,Reliance,Buy,1259.14,2019-08-23,1206.19,2019-09-09,-1.05,0.0,-1.05,-1.05
1,Reliance,Sell,1206.19,2019-09-09,1279.82,2019-09-26,-1.53,0.0,-2.58,-2.58
2,Upl,Buy,596.7,2019-09-30,529.13,2019-11-14,-2.83,0.0,-5.41,-5.41
3,Upl,Sell,529.13,2019-11-14,582.28,2019-12-30,-2.51,0.0,-7.92,-7.92
4,Reliance,Buy,1279.82,2019-09-26,1493.33,2020-01-08,4.17,20.0,-3.75,-3.75
5,Upl,Buy,582.28,2019-12-30,530.8,2020-01-27,-2.21,16.67,-5.96,-5.96
6,Tatamotors,Buy,139.5,2019-10-17,178.85,2020-02-06,7.05,28.57,1.09,0.0
7,Tatasteel,Buy,353.1,2019-10-25,459.1,2020-02-07,7.5,37.5,8.59,0.0
8,Upl,Sell,530.8,2020-01-27,578.18,2020-02-19,-2.23,33.33,6.36,-2.2299999999999995
9,Upl,Buy,578.18,2020-02-19,508.18,2020-03-02,-3.03,30.0,3.33,-5.26
10,Reliance,Sell,1493.33,2020-01-08,1398.44,2020-04-24,1.59,36.36,4.92,-3.67
11,Upl,Sell,508.18,2020-03-02,387.15,2020-05-14,5.95,41.67,10.87,0.0
12,Tatamotors,Sell,178.85,2020-02-06,84.35,2020-05-15,13.21,46.15,24.08,0.0
13,Tatasteel,Sell,459.1,2020-02-07,288.03,2020-05-28,9.32,50.0,33.4,0.0
14,Tatasteel,Buy,288.03,2020-05-28,361.3,2020-09-23,6.36,53.33,39.76,0.0
15,Tatamotors,Buy,84.35,2020-05-15,127.75,2020-10-16,12.86,56.25,52.62,0.0
16,Upl,Buy,387.15,2020-05-14,463.45,2020-10-19,4.93,58.82,57.55,0.0
17,Reliance,Buy,1398.44,2020-04-24,2029.1,2020-10-26,11.27,61.11,68.82,0.0
18,Tatasteel,Sell,361.3,2020-09-23,411.0,2020-10-27,-3.44,57.89,65.38,-3.4399999999999977
19,Tatamotors,Sell,127.75,2020-10-16,150.95,2020-11-11,-4.54,55.0,60.84,-7.97999999999999
20,Upl,Sell,463.45,2020-10-19,442.15,2020-12-14,1.15,57.14,61.99,-6.829999999999991
21,Reliance,Sell,2029.1,2020-10-26,2099.4,2021-01-21,-0.87,54.55,61.12,-7.699999999999996
22,Reliance,Buy,2099.4,2021-01-21,1925.8,2021-02-02,-2.07,52.17,59.05,-9.769999999999996
23,Tatasteel,Buy,411.0,2020-10-27,685.05,2021-02-05,16.67,54.17,75.72,0.0
24,Tatasteel,Sell,685.05,2021-02-05,702.95,2021-02-08,-0.65,52.0,75.07,-0.6500000000000057
25,Reliance,Sell,1925.8,2021-02-02,2032.6,2021-02-15,-1.39,50.0,73.68,-2.039999999999992
26,Tatamotors,Buy,150.95,2020-11-11,285.55,2021-03-25,22.29,51.85,95.97,0.0
27,Reliance,Buy,2032.6,2021-02-15,2003.1,2021-03-31,-0.36,50.0,95.61,-0.35999999999999943
28,Upl,Buy,442.15,2020-12-14,597.45,2021-04-27,8.78,51.72,104.39,0.0
29,Upl,Sell,597.45,2021-04-27,633.0,2021-05-06,-1.49,50.0,102.9,-1.4899999999999949
30,Tatamotors,Sell,285.55,2021-03-25,332.45,2021-05-18,-4.11,48.39,98.79,-5.599999999999994
