"ï»¿""Segment""",Symbol,Net Qty,Prev. Close (â¹),Realized Profit/Loss  (â¹),Unrealized Profit/Loss  (â¹),Profit/Loss (â¹),Buy Qty,Buy Rate (â¹),Sell Qty,Sell Rate (â¹),Open Qty,Open Rate (â¹)
NSE_FNO,NSE:BANKNIFTY2290135500PE,0,0,-522.5,0,-522.5,25,27.75,25,6.85,0,0
NSE_FNO,NSE:BANKNIFTY2290138500PE,0,0,-6427.5,0,-6427.5,25,438.1,25,181,0,0
NSE_FNO,NSE:BANKNIFTY2290139500CE,0,0,-3318.75,0,-3318.75,25,253.1,25,120.35,0,0
NSE_FNO,NSE:BANKNIFTY2290139500PE,0,0,12785,0,12785,25,594,25,1105.4,0,0
NSE_FNO,NSE:BANKNIFTY2290141000CE,0,0,-241.25,0,-241.25,25,28.45,25,18.8,0,0
NSE_FNO,NSE:BANKNIFTY22AUG36300PE,0,0,-222.5,0,-222.5,50,8.35,50,3.9,0,0
NSE_FNO,NSE:BANKNIFTY22AUG36500PE,0,0,127.5,0,127.5,25,442.95,25,448.05,0,0
NSE_FNO,NSE:BANKNIFTY22AUG37500PE,0,0,988.75,0,988.75,25,15.05,25,54.6,0,0
NSE_FNO,NSE:BANKNIFTY22AUG38000CE,0,0,19260,0,19260,50,504.6,50,889.8,0,0
NSE_FNO,NSE:BANKNIFTY22AUG38000PE,0,0,-2015,0,-2015,50,609.425,50,569.125,0,0
NSE_FNO,NSE:BANKNIFTY22AUG38300PE,0,0,737.5,0,737.5,25,20.65,25,50.15,0,0
NSE_FNO,NSE:BANKNIFTY22AUG38600PE,0,0,171.25,0,171.25,25,30.35,25,37.2,0,0
NSE_FNO,NSE:BANKNIFTY22AUG39300CE,0,0,-7678.75,0,-7678.75,25,355.15,25,48,0,0
NSE_FNO,NSE:BANKNIFTY22AUG39400CE,0,0,-130,0,-130,25,60.7,25,55.5,0,0
NSE_FNO,NSE:BANKNIFTY22AUG40000CE,0,0,-35,0,-35,25,59.65,25,58.25,0,0
NSE_FNO,NSE:BANKNIFTY22AUG42000CE,0,0,-195,0,-195,50,5.85,50,1.95,0,0
NSE_FNO,NSE:BANKNIFTY22JUL36500CE,0,0,4903.75,0,4903.75,25,374,25,570.15,0,0
NSE_FNO,NSE:BANKNIFTY22JUL39000CE,0,0,-72.5,0,-72.5,50,6,50,4.55,0,0
NSE_FNO,NSE:NIFTY2270715600CE,0,0,-577.5,0,-577.5,200,208.5625,200,205.675,0,0
NSE_FNO,NSE:NIFTY2270715700CE,0,0,137.5,0,137.5,50,148.3,50,151.05,0,0
NSE_FNO,NSE:NIFTY2270715800CE,0,0,-95,0,-95,100,177.95,100,177,0,0
NSE_FNO,NSE:NIFTY2270716650CE,0,0,-65,0,-65,100,2,100,1.35,0,0
NSE_FNO,NSE:NIFTY2271414500PE,0,0,-660,0,-660,200,4.3,200,1,0,0
NSE_FNO,NSE:NIFTY2271415100PE,0,0,1072.5,0,1072.5,200,16.3875,200,21.75,0,0
NSE_FNO,NSE:NIFTY2271415500PE,0,0,1845,0,1845,100,29.1,100,47.55,0,0
NSE_FNO,NSE:NIFTY2271415700PE,0,0,2047.5,0,2047.5,100,31.85,100,52.325,0,0
NSE_FNO,NSE:NIFTY2271415850PE,0,0,2275,0,2275,100,34.1,100,56.85,0,0
NSE_FNO,NSE:NIFTY2271415950PE,0,0,2120,0,2120,100,30.1,100,51.3,0,0
NSE_FNO,NSE:NIFTY2271416100PE,0,0,11210,0,11210,100,65.2,100,177.3,0,0
NSE_FNO,NSE:NIFTY2271416200CE,0,0,3292.5,0,3292.5,150,0.75,150,22.7,0,0
NSE_FNO,NSE:NIFTY2271416350CE,0,0,2132.5,0,2132.5,200,17.1125,200,27.775,0,0
NSE_FNO,NSE:NIFTY2271416350PE,0,0,-25817.5,0,-25817.5,300,322.1667,300,236.1083,0,0
NSE_FNO,NSE:NIFTY2271416500CE,0,0,1800,0,1800,150,11.95,150,23.95,0,0
NSE_FNO,NSE:NIFTY2271416600CE,0,0,-942.5,0,-942.5,150,6.5333,150,0.25,0,0
NSE_FNO,NSE:NIFTY2271417200CE,0,0,-230,0,-230,200,1.9,200,0.75,0,0
NSE_FNO,NSE:NIFTY2272116200CE,0,0,-287.5,0,-287.5,50,114,50,108.25,0,0
NSE_FNO,NSE:NIFTY2280416500CE,0,0,-4880,0,-4880,150,792.9333,150,760.4,0,0
NSE_FNO,NSE:NIFTY2280416500PE,0,0,-14280,0,-14280,100,154.5,100,11.7,0,0
NSE_FNO,NSE:NIFTY2280416800CE,0,0,-1400,0,-1400,50,543,50,515,0,0
NSE_FNO,NSE:NIFTY2280416850PE,0,0,1140,0,1140,50,22,50,44.8,0,0
NSE_FNO,NSE:NIFTY2280416900CE,0,0,-92.5,0,-92.5,50,274.3,50,272.45,0,0
NSE_FNO,NSE:NIFTY2280417000CE,0,0,-15450,0,-15450,250,272.86,250,211.06,0,0
NSE_FNO,NSE:NIFTY2280417000PE,0,0,525,0,525,100,28.35,100,33.6,0,0
NSE_FNO,NSE:NIFTY2280417100CE,0,0,2110,0,2110,150,176.9333,150,191,0,0
NSE_FNO,NSE:NIFTY2280417250CE,0,0,542.5,0,542.5,50,96.4,50,107.25,0,0
NSE_FNO,NSE:NIFTY2280417250PE,0,0,310,0,310,100,58.75,100,61.85,0,0
NSE_FNO,NSE:NIFTY2280417300CE,0,0,-275,0,-275,300,110.0583,300,109.1417,0,0
NSE_FNO,NSE:NIFTY2280417400CE,0,0,-1287.5,0,-1287.5,150,84.9,150,76.3167,0,0
NSE_FNO,NSE:NIFTY2280417500CE,0,0,455,0,455,100,26.85,100,31.4,0,0
NSE_FNO,NSE:NIFTY2280417500PE,0,0,52420,0,52420,200,305.4,200,567.5,0,0
NSE_FNO,NSE:NIFTY2280418700CE,0,0,0,0,0,100,0.4,100,0.4,0,0
NSE_FNO,NSE:NIFTY2281117400PE,0,0,-7302.5,0,-7302.5,200,115.6625,200,79.15,0,0
NSE_FNO,NSE:NIFTY2281117650CE,0,0,-1987.5,0,-1987.5,250,69.18,250,61.23,0,0
