"Segment","Symbol","Net Qty","Prev. Close (₹)","Realized Profit/Loss  (₹)","Unrealized Profit/Loss  (₹)","Profit/Loss (₹)","Buy Qty","Buy Rate (₹)","Sell Qty","Sell Rate (₹)","Open Qty","Open Rate (₹)"
"NSE_FNO","NSE:BANKNIFTY2290135800PE","0","0","-260","0","-260","25","13.3","25","2.9","0","0"
"NSE_FNO","NSE:BANKNIFTY2290136500PE","0","0","-755","0","-755","100","10.8","100","3.25","0","0"
"NSE_FNO","NSE:BANKNIFTY2290137500PE","0","0","3288.75","0","3288.75","25","19.95","25","151.5","0","0"
"NSE_FNO","NSE:BANKNIFTY2290137700PE","0","0","345","0","345","50","36","50","42.9","0","0"
"NSE_FNO","NSE:BANKNIFTY2290138300PE","0","0","-8557.5","0","-8557.5","25","369.6","25","27.3","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139100CE","0","0","-523.75","0","-523.75","25","395.9","25","374.95","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139100PE","0","0","203.75","0","203.75","25","365.55","25","373.7","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139200CE","0","0","-181.25","0","-181.25","25","68.8","25","61.55","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139200PE","0","0","16535","0","16535","25","298.75","25","960.15","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139300PE","0","0","7728.75","0","7728.75","25","359.55","25","668.7","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139400CE","0","0","-3863.75","0","-3863.75","50","152.175","50","74.9","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139500CE","0","0","-4575","0","-4575","25","221.05","25","38.05","0","0"
"NSE_FNO","NSE:BANKNIFTY2290139500PE","0","0","22245","0","22245","25","377.6","25","1267.4","0","0"
"NSE_FNO","NSE:BANKNIFTY2290140000CE","0","0","2901.25","0","2901.25","75","36.5","75","75.1833","0","0"
"NSE_FNO","NSE:BANKNIFTY2290140000PE","0","0","-6028.75","0","-6028.75","25","983.05","25","741.9","0","0"
"NSE_FNO","NSE:BANKNIFTY2290140200CE","0","0","2022.5","0","2022.5","50","39.7","50","80.15","0","0"
"NSE_FNO","NSE:BANKNIFTY2290140300CE","0","0","582.5","0","582.5","50","42.15","50","53.8","0","0"
"NSE_FNO","NSE:BANKNIFTY2290140400CE","0","0","-227.5","0","-227.5","50","48.15","50","43.6","0","0"
"NSE_FNO","NSE:BANKNIFTY2290140500CE","0","0","1751.25","0","1751.25","50","16.5","50","51.525","0","0"
"NSE_FNO","NSE:BANKNIFTY2290140500PE","0","0","-38308.75","0","-38308.75","50","1945.55","50","1179.375","0","0"
"NSE_FNO","NSE:BANKNIFTY2290141000CE","0","0","-361.25","0","-361.25","50","15.05","50","7.825","0","0"
"NSE_FNO","NSE:BANKNIFTY2290142000CE","0","0","-595","0","-595","100","8.2","100","2.25","0","0"
"NSE_FNO","NSE:BANKNIFTY2290836500PE","0","0","-65","0","-65","100","4","100","3.35","0","0"
"NSE_FNO","NSE:BANKNIFTY2290838400PE","0","0","147.5","0","147.5","50","25.45","50","28.4","0","0"
"NSE_FNO","NSE:BANKNIFTY2290838500PE","0","0","6492.5","0","6492.5","50","34.4","50","164.25","0","0"
"NSE_FNO","NSE:BANKNIFTY2290839600PE","0","0","-4875","0","-4875","25","470.9","25","275.9","0","0"
